short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,title,NA,NA,NA,NA,A MIDSUMMER NIGHT’S DREAM
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Athens. A room in the Palace of Theseus
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,The Same. A Room in a Cottage
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,A wood near Athens
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Another part of the wood
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,The Wood.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Another part of the wood
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,The Wood
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Athens. A Room in Quince’s House
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I.
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Athens. An Apartment in the Palace of Theseus
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"THESEUS, Duke of Athens"
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HIPPOLYTA, Queen of the Amazons, bethrothed to Theseus"
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"EGEUS, Father to Hermia"
A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HERMIA, daughter to Egeus, in love with Lysander"
