short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,title,NA,NA,NA,NA,ALL’S WELL THAT ENDS WELL
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Rossillon. A room in the Countess’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Paris. A room in the King’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. Rossillon. A Room in the Palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Paris. A room in the King’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Rossillon. A room in the Countess’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. Paris. The King’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Paris. The King’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Another room in the same.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Florence. A room in the Duke’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Rossillon. A room in the Countess’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Florence. Before the Duke’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. Rossillon. A room in the Countess’s palace.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. Without the walls of Florence.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. Camp before Florence.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT III,Scene VII,NA,NA,Scene VII. Florence. A room in the Widow’s house.
All's Well That Ends Well,ALL’S WELL THAT ENDS WELL,Comedy,1603,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
