short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,title,NA,NA,NA,NA,ANTONY AND CLEOPATRA
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Alexandria. A Room in Cleopatra’s palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Alexandria. Another Room in Cleopatra’s palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Alexandria. A Room in Cleopatra’s palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Rome. An Apartment in Caesar’s House
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Alexandria. A Room in the Palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Messina. A Room in Pompey’s house.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Rome. A Room in the House of Lepidus.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Rome. A Room in Caesar’s House.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Rome. A street.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Alexandria. A Room in the Palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene VI,NA,NA,Scene VI.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Near Misenum.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,Scene VII,NA,NA,Scene VII.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,"On board Pompey’s Galley, lying near Misenum."
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,A plain in Syria.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Rome. An Ante-chamber in Caesar’s house.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Alexandria. A Room in the Palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Athens. A Room in Antony’s House.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Athens. Another Room in Antony’s House.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Rome. A Room in Caesar’s House.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene VII,NA,NA,Scene VII.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Antony’s Camp near the Promontory of Actium.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene VIII,NA,NA,Scene VIII.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,A plain near Actium.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene IX,NA,NA,Scene IX.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Another part of the Plain.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene X,NA,NA,Scene X.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Another part of the Plain.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene XI,NA,NA,Scene XI.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Alexandria. A Room in the Palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene XII,NA,NA,Scene XII.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Caesar’s camp in Egypt.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,Scene XIII,NA,NA,Scene XIII.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Alexandria. A Room in the Palace.
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Antony and Cleopatra,ANTONY AND CLEOPATRA,Tragedy,1607,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I.
