short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,title,NA,NA,NA,NA,AS YOU LIKE IT
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. An Orchard near Oliver’s house
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. A Lawn before the Duke’s Palace
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A Room in the Palace
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. The Forest of Arden
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A Room in the Palace
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. Before Oliver’s House
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. The Forest of Arden
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene VI,NA,NA,Scene VI. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene VII,NA,NA,Scene VII. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. A Room in the Palace
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The Forest of Arden
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. Another part of the Forest. Before a Cottage
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. The Forest of Arden
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. The Forest of Arden
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Another part of the Forest
As You Like It,AS YOU LIKE IT,Comedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. Another part of the Forest
