gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,title,NA,NA,NA,NA,JULIUS CAESAR
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Rome. A street
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same. A public place
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. The same. A street
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Rome. Brutus' orchard
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A room in Caesar's palace
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A street near the Capitol
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,"Scene IV. Another part of the same street, before the house of Brutus"
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Rome. Before the Capitol; the Senate sitting
1522,Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same. The Forum
