gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF KING LEAR
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. A Room of State in King Lear’s Palace
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. A Hall in the Earl of Gloucester’s Castle
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A Room in the Duke of Albany’s Palace
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. A Hall in Albany’s Palace
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. Court before the Duke of Albany’s Palace
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. A court within the Castle of the Earl of Gloucester
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Before Gloucester’s Castle
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The open Country
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Before Gloucester’s Castle
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. A Heath
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Another part of the heath
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. A Room in Gloucester’s Castle
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. A part of the Heath with a Hovel
1532,King Lear,THE TRAGEDY OF KING LEAR,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. A Room in Gloucester’s Castle
