gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF KING RICHARD III
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. London. A street
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. London. Another street
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. London. A Room in the Palace
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. London. A Room in the Tower
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. London. A Room in the palace
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Another Room in the palace
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. London. A street
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. London. A Room in the Palace
1503,Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
