gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE LIFE OF TIMON OF ATHENS
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Athens. A hall in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The Same. A room of state in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Athens. A room in a senator’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. The same. A hall in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Athens. A room in Lucullus’ house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. A public place
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. The same. A room in Sempronius’ house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. A hall in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. The same. The senate house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. A room of state in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Without the walls of Athens
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Athens. A room in Timon’s house
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Woods and caves near the sea-shore
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. The woods. Before Timon’s cave
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. The same
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Before the walls of Athens
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,"Scene IV. The woods. Timon’s cave, and a rude tomb seen"
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V. Before the walls of Athens
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"TIMON, a noble Athenian"
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"FLAVIUS, steward to Timon"
1536,Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"FLAMINIUS, servant to Timon"
