short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE COMEDY OF ERRORS
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. A hall in the Duke’s palace
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. A public place
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. A public place
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. The same
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"SOLINUS, Duke of Ephesus."
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"EGEON, a Merchant of Syracuse."
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"ANTIPHOLUS OF EPHESUS, Twin brothers and sons to Egeon and"
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"ANTIPHOLUS OF SYRACUSE, Emilia, but unknown to each other."
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"DROMIO OF EPHESUS, Twin brothers, and attendants on"
Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"DROMIO OF SYRACUSE, the two Antipholuses."
