short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF CORIOLANUS
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Rome. A street
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Corioles. The Senate House
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. Rome. An apartment in Martius’ house
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Before Corioles
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. Within Corioles. A street
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene VI,NA,NA,Scene VI. Near the camp of Cominius
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene VII,NA,NA,Scene VII. The gates of Corioles
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene VIII,NA,NA,Scene VIII. A field of battle between the Roman and the Volscian camps
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene IX,NA,NA,Scene IX. The Roman camp
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT I,Scene X,NA,NA,Scene X. The camp of the Volsces
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Rome. A public place
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Rome. The Capitol
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. Rome. The Forum
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Coriolanus,THE TRAGEDY OF CORIOLANUS,Tragedy,1608,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Rome. A street
