short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,title,NA,NA,NA,NA,CYMBELINE
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Britain. The garden of Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. Britain. A public place.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Britain. Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. Rome. Philario’s house.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene VI,NA,NA,Scene VI. Britain. Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT I,Scene VII,NA,NA,Scene VII. Britain. The palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Britain. Before Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Britain. Imogen’s bedchamber in Cymbeline’s palace; a trunk
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,in one corner.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. Cymbeline’s palace. An ante-chamber adjoining Imogen’s
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,apartments.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Rome. Philario’s house.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Rome. Another room in Philario’s house.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Britain. A hall in Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Britain. Another room in Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Wales. A mountainous country with a cave.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,"Scene IV. Wales, near Milford Haven."
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. Britain. Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. Wales. Before the cave of Belarius.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene VII,NA,NA,Scene VII. The same.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT III,Scene VIII,NA,NA,Scene VIII. Rome. A public place.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Wales. Near the cave of Belarius.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Wales. Before the cave of Belarius.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Britain. Cymbeline’s palace.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. Wales. Before the cave of Belarius.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Britain. The Roman camp.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Britain. A field of battle between the British and Roman
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,camps.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Another part of the field.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. Britain. A prison.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V. Britain. Cymbeline’s tent.
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CYMBELINE, King of Britain"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CLOTEN, son to the Queen by a former husband"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"POSTHUMUS LEONATUS, a gentleman, husband to Imogen"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"BELARIUS, a banished lord, disguised under the name of Morgan"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"GUIDERIUS and ARVIRAGUS, sons to Cymbeline, disguised under the names"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"of POLYDORE and CADWAL, supposed sons to Belarius"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PHILARIO, Italian, friend to Posthumus"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"IACHIMO, Italian, friend to Philario"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CAIUS LUCIUS, General of the Roman forces"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PISANIO, servant to Posthumus"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CORNELIUS, a physician"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,A SOOTHSAYER
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,A ROMAN CAPTAIN
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,TWO BRITISH CAPTAINS
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"A FRENCH GENTLEMAN, friend to Philario"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,TWO LORDS of Cymbeline’s court
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,TWO GENTLEMEN of the same
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,TWO GAOLERS
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"QUEEN, wife to Cymbeline"
Cymbeline,CYMBELINE,Tragedy,1610,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"IMOGEN, daughter to Cymbeline by a former queen"
