"","gutenberg_id","text"
"1",12242,"POEMS"
"2",12242,""
"3",12242,"by EMILY DICKINSON"
"4",12242,""
"5",12242,""
"6",12242,""
"7",12242,""
"8",12242,"Edited by two of her friends"
"9",12242,""
"10",12242,"MABEL LOOMIS TODD and T.W. HIGGINSON"
"11",12242,""
"12",12242,""
"13",12242,""
"14",12242,""
"15",12242,"PREFACE."
"16",12242,""
"17",12242,"The verses of Emily Dickinson belong emphatically to what Emerson"
"18",12242,"long since called ""the Poetry of the Portfolio,""--something produced"
"19",12242,"absolutely without the thought of publication, and solely by way of"
"20",12242,"expression of the writer's own mind. Such verse must inevitably"
"21",12242,"forfeit whatever advantage lies in the discipline of public criticism"
"22",12242,"and the enforced conformity to accepted ways. On the other hand, it"
"23",12242,"may often gain something through the habit of freedom and the"
"24",12242,"unconventional utterance of daring thoughts. In the case of the"
"25",12242,"present author, there was absolutely no choice in the matter; she"
"26",12242,"must write thus, or not at all. A recluse by temperament and habit,"
"27",12242,"literally spending years without setting her foot beyond the"
"28",12242,"doorstep, and many more years during which her walks were strictly"
"29",12242,"limited to her father's grounds, she habitually concealed her mind,"
"30",12242,"like her person, from all but a very few friends; and it was with"
"31",12242,"great difficulty that she was persuaded to print, during her"
"32",12242,"lifetime, three or four poems.  Yet she wrote verses in great"
"33",12242,"abundance; and though brought curiously indifferent to all"
"34",12242,"conventional rules, had yet a rigorous literary standard of her own,"
"35",12242,"and often altered a word many times to suit an ear which had its own"
"36",12242,"tenacious fastidiousness."
"37",12242,""
"38",12242,"Miss Dickinson was born in Amherst, Mass., Dec. 10, 1830, and died"
"39",12242,"there May 15, 1886. Her father, Hon. Edward Dickinson, was the"
"40",12242,"leading lawyer of Amherst, and was treasurer of the well-known"
"41",12242,"college there situated. It was his custom once a year to hold a large"
"42",12242,"reception at his house, attended by all the families connected with"
"43",12242,"the institution and by the leading people of the town. On these"
"44",12242,"occasions his daughter Emily emerged from her wonted retirement and"
"45",12242,"did her part as gracious hostess; nor would any one have known from"
"46",12242,"her manner, I have been told, that this was not a daily occurrence."
"47",12242,"The annual occasion once past, she withdrew again into her seclusion,"
"48",12242,"and except for a very few friends was as invisible to the world as if"
"49",12242,"she had dwelt in a nunnery.  For myself, although I had corresponded"
"50",12242,"with her for many years, I saw her but twice face to face, and"
"51",12242,"brought away the impression of something as unique and remote as"
"52",12242,"Undine or Mignon or Thekla."
"53",12242,""
"54",12242,"This selection from her poems is published to meet the desire of her"
"55",12242,"personal friends, and especially of her surviving sister. It is"
"56",12242,"believed that the thoughtful reader will find in these pages a"
"57",12242,"quality more suggestive of the poetry of William Blake than of"
"58",12242,"anything to be elsewhere found,--flashes of wholly original and"
"59",12242,"profound insight into nature and life; words and phrases exhibiting"
"60",12242,"an extraordinary vividness of descriptive and imaginative power, yet"
"61",12242,"often set in a seemingly whimsical or even rugged frame. They are"
"62",12242,"here published as they were written, with very few and superficial"
"63",12242,"changes; although it is fair to say that the titles have been"
"64",12242,"assigned, almost invariably, by the editors. In many cases these"
"65",12242,"verses will seem to the reader like poetry torn up by the roots, with"
"66",12242,"rain and dew and earth still clinging to them, giving a freshness and"
"67",12242,"a fragrance not otherwise to be conveyed.  In other cases, as in the"
"68",12242,"few poems of shipwreck or of mental conflict, we can only wonder at"
"69",12242,"the gift of vivid imagination by which this recluse woman can"
"70",12242,"delineate, by a few touches, the very crises of physical or mental"
"71",12242,"struggle. And sometimes again we catch glimpses of a lyric strain,"
"72",12242,"sustained perhaps but for a line or two at a time, and making the"
"73",12242,"reader regret its sudden cessation. But the main quality of these"
"74",12242,"poems is that of extraordinary grasp and insight, uttered with an"
"75",12242,"uneven vigor sometimes exasperating, seemingly wayward, but really"
"76",12242,"unsought and inevitable.  After all, when a thought takes one's"
"77",12242,"breath away, a lesson on grammar seems an impertinence. As Ruskin"
"78",12242,"wrote in his earlier and better days, ""No weight nor mass nor beauty"
"79",12242,"of execution can outweigh one grain or fragment of thought."""
"80",12242,""
"81",12242,"            ---Thomas Wentworth Higginson"
"82",12242,""
"83",12242,""
"84",12242,""
"85",12242,""
"86",12242,""
"87",12242,""
"88",12242,""
"89",12242,"TRANSCRIBER'S NOTE"
"90",12242,""
"91",12242,"As is well documented, Emily Dickinson's poems were edited in these"
"92",12242,"early editions by her friends, better to fit the conventions of the"
"93",12242,"times. In particular, her dashes, often small enough to appear"
"94",12242,"as dots, became commas and semi-colons."
"95",12242,""
"96",12242,"In the second series of poems published, a facsimile of her"
"97",12242,"handwritten poem which her editors titled ""Renunciation"" is given,"
"98",12242,"and I here transcribe that manuscript as faithfully as I can,"
"99",12242,"showing _underlined_ words thus."
"100",12242,""
"101",12242,""
"102",12242,"There came a day - at Summer's full -"
"103",12242,"Entirely for me -"
"104",12242,"I thought that such were for the Saints -"
"105",12242,"Where Resurrections - be -"
"106",12242,""
"107",12242,"The sun - as common - went abroad -"
"108",12242,"The flowers - accustomed - blew,"
"109",12242,"As if no soul - that solstice passed -"
"110",12242,"Which maketh all things - new -"
"111",12242,""
"112",12242,"The time was scarce profaned - by speech -"
"113",12242,"The falling of a word"
"114",12242,"Was needless - as at Sacrament -"
"115",12242,"The _Wardrobe_ - of our Lord!"
"116",12242,""
"117",12242,"Each was to each - the sealed church -"
"118",12242,"Permitted to commune -  _this_ time -"
"119",12242,"Lest we too awkward show"
"120",12242,"At Supper of ""the Lamb."""
"121",12242,""
"122",12242,"The hours slid fast - as hours will -"
