short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE SECOND PART OF
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,title,NA,NA,NA,NA,KING HENRY IV
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,NA,NA,NA,NA,INDUCTION
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. The same.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. London. A street.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. York. The Archbishop’s palace.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. London. A street.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. London. Another street.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. Warkworth. Before the castle.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. The Boar’s head Tavern in Eastcheap.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Westminster. The palace.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Gloucestershire. Before Justice Shallow’s house.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Yorkshire. Gaultree Forest.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Another part of the forest.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Another part of the forest.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. Westminster. The Jerusalem Chamber.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. Another chamber.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Gloucestershire. Shallow’s house.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Westminster. The palace.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Gloucestershire. Shallow’s orchard.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. London. A street.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V. A public place near Westminster Abbey.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,EPILOGUE
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"RUMOUR, the Presenter."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,KING HENRY the Fourth.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HENRY, PRINCE OF WALES, afterwards King Henry the Fifth."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"THOMAS, DUKE OF CLARENCE."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PRINCE JOHN OF LANCASTER.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PRINCE HUMPHREY OF GLOUCESTER.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,EARL OF WARWICK.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,EARL OF WESTMORELAND.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,EARL OF SURREY.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,GOWER.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HARCOURT.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR JOHN BLUNT.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Lord CHIEF JUSTICE of the King’s Bench.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,A SERVANT of the Chief Justice.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Henry Percy, Earl of NORTHUMBERLAND."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Scroop, ARCHBISHOP of York."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Lord MOWBRAY.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Lord HASTINGS.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD BARDOLPH.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR JOHN COLEVILLE.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"TRAVERS and MORTON, retainers of Northumberland."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR JOHN FALSTAFF.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,His Page.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,BARDOLPH.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PISTOL.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,POINS.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PETO.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"SHALLOW and SILENCE, country justices."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"DAVY, Servant to Shallow."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"MOULDY, SHADOW, WART, FEEBLE, and BULLCALF, recruits."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"FANG and SNARE, sheriff’s officers."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LADY NORTHUMBERLAND.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LADY PERCY.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"MISTRESS QUICKLY, hostess of a tavern in Eastcheap."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DOLL TEARSHEET.
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Lords and Attendants; Porter, Drawers, Musicians, Beadles, Grooms, etc."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"A Dancer, speaker of the epilogue."
"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,front_matter,scene_description,NA,NA,NA,NA,SCENE: England.
