short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE SECOND PART OF
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,title,NA,NA,NA,NA,KING HENRY VI
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. London. The palace
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The Duke of Gloucester’s House
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. London. The palace
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Gloucester’s Garden
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,SCENE I. Saint Albans
"Henry VI, Part 2",THE SECOND PART OF KING HENRY VI,History,1591,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,SCENE II. London. The Duke of York’s Garden
