gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Prologue.
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. London. An ante-chamber in the palace
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same. The council-chamber
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. An ante-chamber in the palace
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. A Hall in York Place
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Westminster. A street
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. An ante-chamber in the palace
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. An ante-chamber of the Queen’s apartments
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. A hall in Blackfriars
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. London. The Queen’s apartments
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Ante-chamber to the King’s apartment
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. A street in Westminster
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Kimbolton
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. A gallery in the palace
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Lobby before the council-chamber
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. The palace yard
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. The palace
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Epilogue
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,KING HENRY THE EIGHTH
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DUKE OF NORFOLK
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DUKE OF SUFFOLK
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,CARDINAL WOLSEY
