short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,title,NA,NA,NA,NA,JULIUS CAESAR
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Rome. A street
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same. A public place
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. The same. A street
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Rome. Brutus’ orchard
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A room in Caesar’s palace
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A street near the Capitol
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,"Scene IV. Another part of the same street, before the house of Brutus"
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Rome. Before the Capitol; the Senate sitting
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same. The Forum
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. The same. A street
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. A room in Antony’s house
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,"Scene II. Before Brutus’ tent, in the camp near Sardis"
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Within the tent of Brutus
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. The plains of Philippi
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. The same. The field of battle
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Another part of the field
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. Another part of the field
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V. Another part of the field
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,JULIUS CAESAR
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"OCTAVIUS CAESAR, Triumvir after his death."
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"MARCUS ANTONIUS,    ”    ”     ”"
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"M. AEMILIUS LEPIDUS,   ”    ”     ”"
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CICERO, PUBLIUS, POPILIUS LENA, Senators."
Julius Caesar,THE TRAGEDY OF JULIUS CAESAR,Tragedy,1599,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"MARCUS BRUTUS, Conspirator against Caesar."
