short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,title,NA,NA,NA,NA,MACBETH
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. An open Place.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. A Camp near Forres.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A heath.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Forres. A Room in the Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. Inverness. A Room in Macbeth’s Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene VI,NA,NA,Scene VI. The same. Before the Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT I,Scene VII,NA,NA,Scene VII. The same. A Lobby in the Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Inverness. Court within the Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. The same.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The same.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. The same. Without the Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Forres. A Room in the Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same. Another Room in the Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,"Scene III. The same. A Park or Lawn, with a gate leading to the Palace."
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. The same. A Room of state in the Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. The heath.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. Forres. A Room in the Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,"Scene I. A dark Cave. In the middle, a Cauldron Boiling."
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Fife. A Room in Macduff’s Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. England. Before the King’s Palace.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Dunsinane. A Room in the Castle.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. The Country near Dunsinane.
Macbeth,MACBETH,Tragedy,1606,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Dunsinane. A Room in the Castle.
