short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,title,NA,NA,NA,NA,MEASURE FOR MEASURE
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. An apartment in the Duke’s palace
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. A street
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A monastery
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. A nunnery
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. A hall in Angelo’s house
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Another room in the same
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A room in a prison
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. A room in Angelo’s house
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. A room in the prison
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The street before the prisons
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. A room in Mariana’s house
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. A room in the prison
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Another room in the same
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. A room in Angelo’s house
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. Fields without the town
Measure for Measure,MEASURE FOR MEASURE,Comedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene VI,NA,NA,Scene VI. Street near the city gate
