gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE MERRY WIVES OF WINDSOR
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Windsor. Before Page’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. A room in Doctor Caius’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Before Page’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A field near Windsor
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. A field near Frogmore
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. A street in Windsor
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. A room in Ford’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. A room in Page’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. The street
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. A room in Ford’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. A room in Ford’s house
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene VI,NA,NA,Scene VI. Another room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. A room in the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Windsor Park
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. The street in Windsor
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV. Windsor Park
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V. Another part of the Park
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HOST of the Garter Inn
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR JOHN FALSTAFF
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"ROBIN, page to Falstaff"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"BARDOLPH, follower of Falstaff"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PISTOL, follower of Falstaff"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"NYM, follower of Falstaff"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Robert SHALLOW, a country justice"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Abraham SLENDER, cousin to Shallow"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Peter SIMPLE, servant to Slender"
1517,Merry Wives of Windsor,THE MERRY WIVES OF WINDSOR,Comedy,1601,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"FENTON, a young gentleman"
