play,character
a_midsummer_night_s_dream_tokens,BOTTOM
a_midsummer_night_s_dream_tokens,CHORUS
a_midsummer_night_s_dream_tokens,COBWEB
a_midsummer_night_s_dream_tokens,DEMETRIUS
a_midsummer_night_s_dream_tokens,EGEUS
a_midsummer_night_s_dream_tokens,FAIRY
a_midsummer_night_s_dream_tokens,FIRST FAIRY
a_midsummer_night_s_dream_tokens,FLUTE
a_midsummer_night_s_dream_tokens,HELENA
a_midsummer_night_s_dream_tokens,HERMIA
a_midsummer_night_s_dream_tokens,HIPPOLYTA
a_midsummer_night_s_dream_tokens,LION
a_midsummer_night_s_dream_tokens,LYSANDER
a_midsummer_night_s_dream_tokens,MOON
a_midsummer_night_s_dream_tokens,MOONSHINE
a_midsummer_night_s_dream_tokens,MOTH
a_midsummer_night_s_dream_tokens,MUSTARDSEED
a_midsummer_night_s_dream_tokens,OBERON
a_midsummer_night_s_dream_tokens,PEASEBLOSSOM
a_midsummer_night_s_dream_tokens,PHILOSTRATE
a_midsummer_night_s_dream_tokens,PUCK
a_midsummer_night_s_dream_tokens,PYRAMUS
a_midsummer_night_s_dream_tokens,QUINCE
a_midsummer_night_s_dream_tokens,SECOND FAIRY
a_midsummer_night_s_dream_tokens,SNOUT
a_midsummer_night_s_dream_tokens,SNUG
a_midsummer_night_s_dream_tokens,STARVELING
a_midsummer_night_s_dream_tokens,THESEUS
a_midsummer_night_s_dream_tokens,THISBE
a_midsummer_night_s_dream_tokens,TITANIA
a_midsummer_night_s_dream_tokens,WALL
all_s_well_that_ends_well_tokens,BERTRAM
all_s_well_that_ends_well_tokens,CLOWN
all_s_well_that_ends_well_tokens,COUNTESS
all_s_well_that_ends_well_tokens,DIANA
all_s_well_that_ends_well_tokens,DUKE
all_s_well_that_ends_well_tokens,FIRST GENTLEMAN
all_s_well_that_ends_well_tokens,FIRST LORD
all_s_well_that_ends_well_tokens,FIRST SOLDIER
all_s_well_that_ends_well_tokens,FOURTH LORD
all_s_well_that_ends_well_tokens,GENTLEMAN
all_s_well_that_ends_well_tokens,HELENA
all_s_well_that_ends_well_tokens,KING
all_s_well_that_ends_well_tokens,LAFEW
all_s_well_that_ends_well_tokens,MARIANA
all_s_well_that_ends_well_tokens,MESSENGER
all_s_well_that_ends_well_tokens,PAGE
all_s_well_that_ends_well_tokens,PAROLLES
all_s_well_that_ends_well_tokens,SECOND GENTLEMAN
all_s_well_that_ends_well_tokens,SECOND LORD
all_s_well_that_ends_well_tokens,SECOND SOLDIER
all_s_well_that_ends_well_tokens,STEWARD
all_s_well_that_ends_well_tokens,WIDOW
antony_and_cleopatra_tokens,AGRIPPA
antony_and_cleopatra_tokens,ALEXAS
antony_and_cleopatra_tokens,AMBASSADOR
antony_and_cleopatra_tokens,ANTONY
antony_and_cleopatra_tokens,CAESAR
antony_and_cleopatra_tokens,CANIDIUS
antony_and_cleopatra_tokens,CAPTAIN
antony_and_cleopatra_tokens,CHARMIAN
antony_and_cleopatra_tokens,CLEOPATRA
antony_and_cleopatra_tokens,CLOWN
antony_and_cleopatra_tokens,DEMETRIUS
antony_and_cleopatra_tokens,DERCETUS
antony_and_cleopatra_tokens,DIOMEDES
antony_and_cleopatra_tokens,DOLABELLA
antony_and_cleopatra_tokens,EGYPTIAN
antony_and_cleopatra_tokens,ENOBARBUS
antony_and_cleopatra_tokens,EROS
antony_and_cleopatra_tokens,FIRST GUARD
antony_and_cleopatra_tokens,FIRST SERVANT
antony_and_cleopatra_tokens,FIRST SOLDIER
antony_and_cleopatra_tokens,FIRST WATCH
antony_and_cleopatra_tokens,FOURTH SOLDIER
antony_and_cleopatra_tokens,GUARDSMAN
antony_and_cleopatra_tokens,IRAS
antony_and_cleopatra_tokens,LEPIDUS
antony_and_cleopatra_tokens,MAECENAS
antony_and_cleopatra_tokens,MARDIAN
antony_and_cleopatra_tokens,MENAS
antony_and_cleopatra_tokens,MENECRATES
antony_and_cleopatra_tokens,MESSENGER
antony_and_cleopatra_tokens,OCTAVIA
antony_and_cleopatra_tokens,OFFICER
antony_and_cleopatra_tokens,PHILO
antony_and_cleopatra_tokens,POMPEY
antony_and_cleopatra_tokens,PROCULEIUS
antony_and_cleopatra_tokens,SCARUS
antony_and_cleopatra_tokens,SECOND GUARD
antony_and_cleopatra_tokens,SECOND MESSENGER
antony_and_cleopatra_tokens,SECOND SERVANT
antony_and_cleopatra_tokens,SECOND SOLDIER
antony_and_cleopatra_tokens,SECOND WATCH
antony_and_cleopatra_tokens,SELEUCUS
antony_and_cleopatra_tokens,SENTRY
antony_and_cleopatra_tokens,SERVANT
antony_and_cleopatra_tokens,SILIUS
antony_and_cleopatra_tokens,SOLDIER
antony_and_cleopatra_tokens,SOOTHSAYER
antony_and_cleopatra_tokens,TAURUS
antony_and_cleopatra_tokens,THE SONG
antony_and_cleopatra_tokens,THIDIAS
antony_and_cleopatra_tokens,THIRD GUARD
antony_and_cleopatra_tokens,THIRD MESSENGER
antony_and_cleopatra_tokens,THIRD SOLDIER
antony_and_cleopatra_tokens,VARRIUS
antony_and_cleopatra_tokens,VENTIDIUS
as_you_like_it_tokens,ADAM
as_you_like_it_tokens,AMIENS
as_you_like_it_tokens,AUDREY
as_you_like_it_tokens,CELIA
as_you_like_it_tokens,CHARLES
as_you_like_it_tokens,CORIN
as_you_like_it_tokens,DENNIS
as_you_like_it_tokens,DUKE FREDERICK
as_you_like_it_tokens,DUKE SENIOR
as_you_like_it_tokens,FIRST LORD
as_you_like_it_tokens,FIRST PAGE
as_you_like_it_tokens,HYMEN
as_you_like_it_tokens,JAQUES
as_you_like_it_tokens,JAQUES DE BOYS
as_you_like_it_tokens,LE BEAU
as_you_like_it_tokens,MARTEXT
as_you_like_it_tokens,OLIVER
as_you_like_it_tokens,ORLANDO
as_you_like_it_tokens,PAGES
as_you_like_it_tokens,PHOEBE
as_you_like_it_tokens,ROSALIND
as_you_like_it_tokens,SECOND LORD
as_you_like_it_tokens,SECOND PAGE
as_you_like_it_tokens,SILVIUS
as_you_like_it_tokens,SONG
as_you_like_it_tokens,TOUCHSTONE
as_you_like_it_tokens,WILLIAM
comedy_of_errors_tokens,ABBESS
comedy_of_errors_tokens,ADRIANA
comedy_of_errors_tokens,ANGELO
comedy_of_errors_tokens,ANTIPHOLUS OF EPHESUS
comedy_of_errors_tokens,ANTIPHOLUS OF SYRACUSE
comedy_of_errors_tokens,BALTHASAR
comedy_of_errors_tokens,COURTESAN
comedy_of_errors_tokens,DROMIO OF EPHESUS
comedy_of_errors_tokens,DROMIO OF SYRACUSE
comedy_of_errors_tokens,DUKE
comedy_of_errors_tokens,EGEON
comedy_of_errors_tokens,JAILER
comedy_of_errors_tokens,LUCE
comedy_of_errors_tokens,LUCIANA
comedy_of_errors_tokens,MERCHANT
comedy_of_errors_tokens,MESSENGER
comedy_of_errors_tokens,OFFICER
comedy_of_errors_tokens,PINCH
coriolanus_tokens,AEDILE
coriolanus_tokens,AEDILES
coriolanus_tokens,AUFIDIUS
coriolanus_tokens,BRUTUS
coriolanus_tokens,CITIZEN
coriolanus_tokens,CITIZENS
coriolanus_tokens,COMINIUS
coriolanus_tokens,CORIOLANUS
coriolanus_tokens,FIFTH CITIZEN
coriolanus_tokens,FIRST
coriolanus_tokens,FIRST CITIZEN
coriolanus_tokens,FIRST CONSPIRATOR
coriolanus_tokens,FIRST LORD
coriolanus_tokens,FIRST OFFICER
coriolanus_tokens,FIRST PATRICIAN
coriolanus_tokens,FIRST ROMAN
coriolanus_tokens,FIRST SENATOR
coriolanus_tokens,FIRST SERVINGMAN
coriolanus_tokens,FIRST SOLDIER
coriolanus_tokens,FIRST WATCH
coriolanus_tokens,FOURTH CITIZEN
coriolanus_tokens,GENTLEWOMAN
coriolanus_tokens,HERALD
coriolanus_tokens,LARTIUS
coriolanus_tokens,LIEUTENANT
coriolanus_tokens,LORDS
coriolanus_tokens,MARTIUS
coriolanus_tokens,MENENIUS
coriolanus_tokens,MESSENGER
coriolanus_tokens,OFFICER
coriolanus_tokens,PATRICIAN
coriolanus_tokens,ROMAN
coriolanus_tokens,SECOND CITIZEN
coriolanus_tokens,SECOND CONSPIRATOR
coriolanus_tokens,SECOND LORD
coriolanus_tokens,SECOND MESSENGER
coriolanus_tokens,SECOND OFFICER
coriolanus_tokens,SECOND ROMAN
coriolanus_tokens,SECOND SENATOR
coriolanus_tokens,SECOND SERVINGMAN
coriolanus_tokens,SECOND SOLDIER
coriolanus_tokens,SECOND WATCH
coriolanus_tokens,SENATOR
coriolanus_tokens,SENATORS
coriolanus_tokens,SEVENTH CITIZEN
coriolanus_tokens,SICINIUS
coriolanus_tokens,SIXTH CITIZEN
coriolanus_tokens,SOLDIER
coriolanus_tokens,THIRD CITIZEN
coriolanus_tokens,THIRD CONSPIRATOR
coriolanus_tokens,THIRD LORD
coriolanus_tokens,THIRD ROMAN
coriolanus_tokens,THIRD SERVINGMAN
coriolanus_tokens,TITUS LARTIUS
coriolanus_tokens,TRIBUNES
coriolanus_tokens,VALERIA
coriolanus_tokens,VIRGILIA
coriolanus_tokens,VOLSCE
coriolanus_tokens,VOLUMNIA
coriolanus_tokens,YOUNG MARTIUS
cymbeline_tokens,ARVIRAGUS
cymbeline_tokens,ATTENDANT
cymbeline_tokens,BELARIUS
cymbeline_tokens,BROTHERS
cymbeline_tokens,CAPTAIN
cymbeline_tokens,CLOTEN
cymbeline_tokens,CORNELIUS
