category,name,description,tokens,unique_words,plays,filepath
by_content,dialogue_only,All dialogue lines,797489,25256,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_content/dialogue_only.csv
by_content,directions_only,All stage directions,41173,4861,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_content/directions_only.csv
by_content,references_only,All structural references,5513,404,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_content/references_only.csv
by_play,henry_vi_part_1,"Henry VI, Part 1 - dialogue and directions",21705,3862,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_1.csv
by_play,henry_vi_part_1_filtered,"Henry VI, Part 1 - dialogue and directions, no stop words",8824,3460,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_1_filtered.csv
by_play,henry_vi_part_2,"Henry VI, Part 2 - dialogue and directions",25930,4078,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_2.csv
by_play,henry_vi_part_2_filtered,"Henry VI, Part 2 - dialogue and directions, no stop words",10392,3666,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_2_filtered.csv
by_play,henry_vi_part_3,"Henry VI, Part 3 - dialogue and directions",24583,3587,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_3.csv
by_play,henry_vi_part_3_filtered,"Henry VI, Part 3 - dialogue and directions, no stop words",9887,3177,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/henry_vi_part_3_filtered.csv
by_play,richard_iii,Richard III - dialogue and directions,29474,4058,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/richard_iii.csv
by_play,richard_iii_filtered,"Richard III - dialogue and directions, no stop words",11421,3649,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/richard_iii_filtered.csv
by_play,comedy_of_errors,Comedy of Errors - dialogue and directions,14764,2534,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/comedy_of_errors.csv
by_play,comedy_of_errors_filtered,"Comedy of Errors - dialogue and directions, no stop words",5126,2173,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/comedy_of_errors_filtered.csv
by_play,titus_andronicus,Titus Andronicus - dialogue and directions,20857,3386,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/titus_andronicus.csv
by_play,titus_andronicus_filtered,"Titus Andronicus - dialogue and directions, no stop words",8212,3010,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/titus_andronicus_filtered.csv
by_play,taming_of_the_shrew,Taming of the Shrew - dialogue and directions,18838,2971,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/taming_of_the_shrew.csv
by_play,taming_of_the_shrew_filtered,"Taming of the Shrew - dialogue and directions, no stop words",6720,2574,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/taming_of_the_shrew_filtered.csv
by_play,two_gentlemen_of_verona,Two Gentlemen of Verona - dialogue and directions,17314,2711,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/two_gentlemen_of_verona.csv
by_play,two_gentlemen_of_verona_filtered,"Two Gentlemen of Verona - dialogue and directions, no stop words",5963,2337,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/two_gentlemen_of_verona_filtered.csv
