short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,title,NA,NA,NA,NA,MUCH ADO ABOUT NOTHING
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Before Leonato’s House.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,A room in Leonato’s house.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Another room in Leonato’s house.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,A hall in Leonato’s house.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Another room in Leonato’s house.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Leonato’s Garden.
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Much Ado about Nothing,MUCH ADO ABOUT NOTHING,Comedy,1598,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I.
