short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,title,NA,NA,NA,NA,"PERICLES, PRINCE OF TYRE"
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Chorus. Before the palace of Antioch
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Antioch. A room in the palace
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Tyre. A room in the palace
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. Tyre. An ante-chamber in the Palace
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Tarsus. A room in the Governor’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Chorus. Chorus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Pentapolis. An open place by the seaside
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,"Scene II. The same. A public way, or platform leading to the lists"
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The same. A hall of state: a banquet prepared
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Tyre. A room in the Governor’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Pentapolis. A room in the palace
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Chorus. Chorus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. On shipboard
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Ephesus. A room in Cerimon’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Tarsus. A room in Cleon’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. Ephesus. A room in Cerimon’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Chorus. Chorus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Tarsus. An open place near the seashore
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Mytilene. A room in a brothel
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Tarsus. A room in Cleon’s house
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. Before the monument of Marina at Tarsus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. Mytilene. A street before the brothel
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,Scene VI,NA,NA,Scene VI. The same. A room in the brothel
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Chorus. Chorus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,"Scene I. On board Pericles’ ship, off Mytilene"
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. Before the temple of Diana at Ephesus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. The temple of Diana at Ephesus
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"ANTIOCHUS, king of Antioch."
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PERICLES, prince of Tyre."
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HELICANUS, ESCANES, two lords of Tyre."
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"SIMONIDES, king of Pentapolis."
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CLEON, governor of Tarsus."
Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"LYSIMACHUS, governor of Mytilene."
