gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,title,NA,NA,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,title,NA,NA,NA,NA,comedy
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,title,NA,NA,NA,NA,of
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,title,NA,NA,NA,NA,errors
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,author,NA,NA,NA,NA,by
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,author,NA,NA,NA,NA,william
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,author,NA,NA,NA,NA,shakespeare
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,contents
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,act
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,i
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,i
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,a
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,hall
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,in
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,duke’s
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,palace
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,ii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,a
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,public
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,place
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,act
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,i
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,a
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,public
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,place
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,ii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,same
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,act
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,iii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,i
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,same
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,ii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,same
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,act
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,iv
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,i
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,the
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,same
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,scene
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,ii
1504,Comedy of Errors,THE COMEDY OF ERRORS,Comedy,1594,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,the
