gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,enter
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,lord
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,bardolph
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,who
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,keeps
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,gate
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,here
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,1,ho
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,2,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,2,porter
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,2,opens
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,2,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,2,gate
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,3,where
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,3,is
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,3,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,3,earl
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,what
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,shall
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,i
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,say
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,you
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,PORTER,4,are
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,5,tell
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,5,thou
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,5,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,5,earl
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,that
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,the
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,lord
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,bardolph
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,doth
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,attend
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,him
1518,"Henry IV, Part 2",THE SECOND PART OF KING HENRY IV,History,1598,William Shakespeare,contents,dialogue,ACT I,SCENE I,LORD BARDOLPH,6,here
