gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,duke
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,norfolk
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,door
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,duke
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,buckingham
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,lord
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,abergavenny
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,dialogue,ACT I,SCENE I,BUCKINGHAM,1,morrow
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,dialogue,ACT I,SCENE I,BUCKINGHAM,1,met
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,dialogue,ACT I,SCENE I,BUCKINGHAM,1,ye
1541,Henry VIII,THE FAMOUS HISTORY OF THE LIFE OF KING HENRY THE EIGHTH,History,1613,William Shakespeare,contents,dialogue,ACT I,SCENE I,BUCKINGHAM,2,france
