gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,sampson
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,gregory
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,armed
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,swords
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,bucklers
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,1,gregory
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,1,word
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,1,carry
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,1,coals
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,2,colliers
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,3,choler
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,3,draw
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,4,live
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,4,draw
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,4,neck
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,4,collar
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,5,strike
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,5,quickly
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,5,moved
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,6,quickly
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,6,moved
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,6,strike
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,7,dog
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,7,house
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,7,montague
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,7,moves
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,8,move
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,8,stir
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,8,valiant
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,8,stand
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,9,moved
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GREGORY,9,runn'st
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,10,dog
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,10,house
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,10,move
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,10,stand
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,11,wall
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,11,maid
1513,Romeo and Juliet,THE TRAGEDY OF ROMEO AND JULIET,Tragedy,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,SAMPSON,11,montague's
