gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,word
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,orsino
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,duke
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,illyria
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,curio
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,lords
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,musicians
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,directions,ACT I.,SCENE I,NA,NA,attending
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,1,music
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,1,food
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,1,love
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,1,play
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,2,excess
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,2,surfeiting
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,3,appetite
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,3,sicken
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,3,die
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,4,strain
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,4,dying
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,4,fall
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,5,o'er
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,5,ear
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,5,sweet
1526,Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,contents,dialogue,ACT I.,SCENE I,DUKE,5,sound
