short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE LIFE AND DEATH OF KING RICHARD THE SECOND
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.   London. A Room in the palace.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.  The same. A room in the Duke of Lancaster’s palace.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,"Scene III. Open Space, near Coventry. Lists set out, and a Throne. Heralds, &c., attending."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV.  London. A Room in the King’s Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.   London. An Apartment in Ely House.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.  The Same. A Room in the Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The Wolds in Gloucestershire.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV.  A camp in Wales.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I.   Bristol. Bolingbroke’s camp.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II.  The coast of Wales. A castle in view.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Wales. Before Flint Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV.  Langley. The Duke of York’s garden.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I.   Westminster Hall.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I.   London. A street leading to the Tower.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II.  The same. A room in the Duke of York’s palace.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. Windsor. A room in the Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV.  Another room in the Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V.   Pomfret. The dungeon of the Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,contents,ACT V,Scene VI,NA,NA,Scene VI.  Windsor. An Apartment in the Castle.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,KING RICHARD THE SECOND
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"JOHN OF GAUNT, Duke of Lancaster - uncle to the King"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"EDMUND LANGLEY, Duke of York - uncle to the King"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HENRY, surnamed BOLINGBROKE, Duke of Hereford, son of John of Gaunt,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,afterwards King Henry IV
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"DUKE OF AUMERLE, son of the Duke of York"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"THOMAS MOWBRAY, Duke of Norfolk"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DUKE OF SURREY
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,EARL OF SALISBURY
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD BERKELEY
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,BUSHY - Servant to King Richard
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,BAGOT - Servant to King Richard
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,GREEN - Servant to King Richard
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,EARL OF NORTHUMBERLAND
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"HARRY PERCY, surnamed Hotspur, his son"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD ROSS
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD WILLOUGHBY
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD FITZWATER
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,BISHOP OF CARLISLE
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,ABBOT OF WESTMINSTER
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,LORD MARSHAL
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR PIERCE OF EXTON
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SIR STEPHEN SCROOP
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Captain of a band of Welshmen
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,QUEEN TO KING RICHARD
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DUCHESS OF GLOUCESTER
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,DUCHESS OF YORK
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Lady attending on the Queen
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Lords, Heralds, Officers, Soldiers, Gardeners, Keeper, Messenger,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"Groom, and other Attendants"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,front_matter,scene_description,NA,NA,NA,NA,SCENE: Dispersedly in England and Wales.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,reference,ACT I,NA,NA,NA,ACT I
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,reference,ACT I,SCENE I,NA,NA,SCENE I. London. A Room in the palace.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,"Enter King Richard, John of Gaunt, with other Nobles and Attendants."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,1,"Old John of Gaunt, time-honoured Lancaster,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,2,"Hast thou, according to thy oath and band,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,3,"Brought hither Henry Hereford, thy bold son,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,4,"Here to make good the boist’rous late appeal,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,5,"Which then our leisure would not let us hear,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,6,"Against the Duke of Norfolk, Thomas Mowbray?"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GAUNT,7,"I have, my liege."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,8,"Tell me, moreover, hast thou sounded him"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,9,"If he appeal the Duke on ancient malice,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,10,"Or worthily, as a good subject should,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,11,On some known ground of treachery in him?
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GAUNT,12,"As near as I could sift him on that argument,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GAUNT,13,On some apparent danger seen in him
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,GAUNT,14,"Aimed at your Highness, no inveterate malice."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,15,Then call them to our presence. Face to face
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,16,"And frowning brow to brow, ourselves will hear"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,17,The accuser and the accused freely speak.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,18,"High-stomached are they both and full of ire,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,19,"In rage, deaf as the sea, hasty as fire."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,directions,ACT I,SCENE I,NA,NA,Enter Bolingbroke and Mowbray.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,20,Many years of happy days befall
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,21,"My gracious sovereign, my most loving liege!"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,22,Each day still better other’s happiness
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,23,"Until the heavens, envying earth’s good hap,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,24,Add an immortal title to your crown!
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,25,"We thank you both. Yet one but flatters us,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,26,"As well appeareth by the cause you come,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,27,"Namely, to appeal each other of high treason."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,28,"Cousin of Hereford, what dost thou object"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,KING RICHARD,29,"Against the Duke of Norfolk, Thomas Mowbray?"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,30,First—heaven be the record to my speech!—
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,31,"In the devotion of a subject’s love,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,32,"Tend’ring the precious safety of my prince,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,33,"And free from other misbegotten hate,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,34,Come I appellant to this princely presence.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,35,"Now, Thomas Mowbray, do I turn to thee,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,36,And mark my greeting well; for what I speak
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,37,"My body shall make good upon this earth,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,38,Or my divine soul answer it in heaven.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,39,"Thou art a traitor and a miscreant,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,40,"Too good to be so and too bad to live,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,41,"Since the more fair and crystal is the sky,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,42,The uglier seem the clouds that in it fly.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,43,"Once more, the more to aggravate the note,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,44,"With a foul traitor’s name stuff I thy throat,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,45,"And wish, so please my sovereign, ere I move,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,BOLINGBROKE,46,"What my tongue speaks, my right-drawn sword may prove."
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,47,Let not my cold words here accuse my zeal.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,48,"’Tis not the trial of a woman’s war,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,49,"The bitter clamour of two eager tongues,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,50,Can arbitrate this cause betwixt us twain;
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,51,The blood is hot that must be cooled for this.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,52,Yet can I not of such tame patience boast
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,53,As to be hushed and naught at all to say.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,54,"First, the fair reverence of your highness curbs me"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,55,"From giving reins and spurs to my free speech,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,56,Which else would post until it had returned
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,57,These terms of treason doubled down his throat.
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,58,"Setting aside his high blood’s royalty,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,59,"And let him be no kinsman to my liege,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,60,"I do defy him, and I spit at him,"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,61,Call him a slanderous coward and a villain;
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,62,"Which to maintain, I would allow him odds"
Richard II,THE LIFE AND DEATH OF KING RICHARD THE SECOND,History,1595,William Shakespeare,contents,dialogue,ACT I,SCENE I,MOWBRAY,63,"And meet him, were I tied to run afoot"
