short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF KING RICHARD III
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. London. A street
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. London. Another street
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. London. A Room in the Palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. London. A Room in the Tower
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. London. A Room in the palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Another Room in the palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. London. A street
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. London. A Room in the Palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. London. A street
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Before Lord Hastings’ house
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Pomfret. Before the Castle
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. London. A Room in the Tower
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. London. The Tower Walls
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. London. A street
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT III,Scene VII,NA,NA,Scene VII. London. Court of Baynard’s Castle
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. London. Before the Tower
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. London. A Room of State in the Palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. London. Another Room in the Palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. London. Before the Palace
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. A Room in Lord Stanley’s house
Richard III,THE TRAGEDY OF KING RICHARD III,History,1592,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
