short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TAMING OF THE SHREW
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,NA,NA,NA,NA,INDUCTION
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,NA,Scene I,NA,NA,Scene I. Before an alehouse on a heath.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,NA,Scene II,NA,NA,Scene II. A bedchamber in the Lord’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Padua. A public place.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Padua. Before Hortensio’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Padua. A room in Baptista’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Padua. A room in Baptista’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same. Before Baptista’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. A hall in Petruchio’s country house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Padua. Before Baptista’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. A room in Petruchio’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. Before Baptista’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V. A public road.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Padua. Before Lucentio’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. A room in Lucentio’s house.
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Persons in the Induction
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,A LORD
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"CHRISTOPHER SLY, a tinker"
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HOSTESS
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PAGE
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,PLAYERS
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HUNTSMEN
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,SERVANTS
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"BAPTISTA MINOLA, a rich gentleman of Padua"
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"VINCENTIO, an old gentleman of Pisa"
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"LUCENTIO, son to Vincentio; in love with Bianca"
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PETRUCHIO, a gentleman of Verona; suitor to Katherina"
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Suitors to Bianca
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,GREMIO
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HORTENSIO
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,Servants to Lucentio
Taming of the Shrew,THE TAMING OF THE SHREW,Comedy,1592,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,TRANIO
