short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TEMPEST
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. On a ship at sea; a tempestuous noise of thunder and lightning
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,heard.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The Island. Before the cell of Prospero.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Another part of the island.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. Another part of the island.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Before Prospero’s cell.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Another part of the island.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Another part of the island.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Before Prospero’s cell.
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Tempest,THE TEMPEST,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Before the cell of Prospero.
