gutenberg_id,title,author,section,subsection,act,scene,character,line_number,text
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,title,NA,NA,NA,NA,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Elsinore. A platform before the Castle
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Elsinore. A room of state in the Castle
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A room in Polonius’s house
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. The platform
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. A more remote part of the Castle
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. A room in Polonius’s house
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A room in the Castle
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. A room in the Castle
1524,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. A hall in the Castle
