short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE LIFE OF TIMON OF ATHENS
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Athens. A hall in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The Same. A room of state in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Athens. A room in a senator’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. The same. A hall in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Athens. A room in Lucullus’ house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. A public place
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. The same. A room in Sempronius’ house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. A hall in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene V,NA,NA,Scene V. The same. The senate house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT III,Scene VI,NA,NA,Scene VI. A room of state in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Without the walls of Athens
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Athens. A room in Timon’s house
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Woods and caves near the sea-shore
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Timon of Athens,THE LIFE OF TIMON OF ATHENS,Tragedy,1604,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. The woods. Before Timon’s cave
