short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE TRAGEDY OF
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,title,NA,NA,NA,NA,TITUS ANDRONICUS
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Rome. Before the Capitol
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Rome. Before the palace
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A Forest near Rome; a Lodge seen at a distance. Horns and cry of hounds heard
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A lonely part of the Forest
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Another part of the Forest
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Rome. A street
Titus Andronicus,THE TRAGEDY OF TITUS ANDRONICUS,Tragedy,1591,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Rome. A Room in Titus’s House. A banquet set out
