gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,title,NA,NA,NA,NA,TROILUS AND CRESSIDA
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Prologue.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Troy. Before Priam’s palace.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Troy. A street.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,The Grecian camp. Before Agamemnon’s tent.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,The Grecian camp.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Troy. Priam’s palace.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,The Grecian camp. Before the tent of Achilles.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Troy. Priam’s palace.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Troy. Pandarus’ orchard.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,The Greek camp.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Troy. A street.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Troy. The court of Pandarus’ house.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Troy. A street before Pandarus’ house.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Troy. Pandarus’ house.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,Scene V,NA,NA,Scene V.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,The Grecian camp. Lists set out.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,The Grecian camp. Before the tent of Achilles.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,The Grecian camp. Before Calchas’ tent.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Troy. Before Priam’s palace.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene IV,NA,NA,Scene IV.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,The plain between Troy and the Grecian camp.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene V,NA,NA,Scene V.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene VI,NA,NA,Scene VI.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene VII,NA,NA,Scene VII.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene VIII,NA,NA,Scene VIII.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene IX,NA,NA,Scene IX.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,Scene X,NA,NA,Scene X.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,Another part of the plain.
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,"PRIAM, King of Troy"
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,His sons:
1528,Troilus and Cressida,TROILUS AND CRESSIDA,Tragedy,1602,William Shakespeare,front_matter,dramatis_personae,NA,NA,NA,NA,HECTOR
