short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,title,NA,NA,NA,NA,"TWELFTH NIGHT: OR, WHAT YOU WILL"
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. An Apartment in the Duke’s Palace.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The sea-coast.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. A Room in Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. A Room in the Duke’s Palace.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT I,Scene V,NA,NA,Scene V. A Room in Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. The sea-coast.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. A street.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. A Room in Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. A Room in the Duke’s Palace.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Olivia’s garden.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Olivia’s garden.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. A Room in Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. A street.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. Olivia’s garden.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. The Street before Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. A Room in Olivia’s House.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. Olivia’s Garden.
Twelfth Night,"TWELFTH NIGHT: OR, WHAT YOU WILL",Comedy,1601,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
