short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,THE WINTER’S TALE
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Sicilia. An Antechamber in Leontes’ Palace.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. The same. A Room of State in the Palace.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Sicilia. A Room in the Palace.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II. The same. The outer Room of a Prison.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The same. A Room in the Palace.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. Sicilia. A Street in some Town.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. The same. A Court of Justice.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Bohemia. A desert Country near the Sea.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,Scene I,NA,NA,Scene I. Prologue.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,Scene II,NA,NA,Scene II. Bohemia. A Room in the palace of Polixenes.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,Scene III,NA,NA,Scene III. The same. A Road near the Shepherd’s cottage.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT IV,Scene IV,NA,NA,Scene IV. The same. A Shepherd’s Cottage.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,NA,NA,NA,ACT V
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,Scene I,NA,NA,Scene I. Sicilia. A Room in the palace of Leontes.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,Scene II,NA,NA,Scene II. The same. Before the Palace.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,contents,ACT V,Scene III,NA,NA,Scene III. The same. A Room in Paulina’s house.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,dramatis_header,NA,NA,NA,NA,Dramatis Personæ
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"LEONTES, King of Sicilia"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"MAMILLIUS, his son"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"CAMILLO, Sicilian Lord"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"ANTIGONUS, Sicilian Lord"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"CLEOMENES, Sicilian Lord"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"DION, Sicilian Lord"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"POLIXENES, King of Bohemia"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"FLORIZEL, his son"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"ARCHIDAMUS, a Bohemian Lord"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"An Old Shepherd, reputed father of Perdita"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"CLOWN, his son"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"AUTOLYCUS, a rogue"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,A Mariner
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,A Gaoler
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,Servant to the Old Shepherd
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,Other Sicilian Lords
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,Sicilian Gentlemen
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,Officers of a Court of Judicature
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"HERMIONE, Queen to Leontes"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"PERDITA, daughter to Leontes and Hermione"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"PAULINA, wife to Antigonus"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"EMILIA, a lady attending on the Queen"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"MOPSA, shepherdess"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"DORCAS, shepherdess"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"Other Ladies, attending on the Queen"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"Lords, Ladies, and Attendants; Satyrs for a Dance; Shepherds,"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"Shepherdesses, Guards, &c."
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,"TIME, as Chorus"
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,front_matter,title,NA,NA,NA,NA,Scene: Sometimes in Sicilia; sometimes in Bohemia.
Winter's Tale,THE WINTER’S TALE,Comedy,1611,William Shakespeare,contents,reference,ACT I,NA,NA,NA,ACT I
