short_title,word1,word2,n
"Henry IV, Part 2",sir,john,65
Merry Wives of Windsor,sir,john,39
Merry Wives of Windsor,master,brook,33
Merry Wives of Windsor,mistress,ford,31
Twelfth Night,sir,toby,27
Merry Wives of Windsor,anne,page,25
Merry Wives of Windsor,mistress,page,25
Julius Caesar,mark,antony,24
"Henry IV, Part 1",sir,john,23
Merry Wives of Windsor,master,page,23
Merry Wives of Windsor,mistress,anne,23
Measure for Measure,lord,angelo,22
"Henry IV, Part 2",master,shallow,20
Henry VIII,sir,thomas,18
Antony and Cleopatra,mark,antony,17
Merry Wives of Windsor,master,slender,17
Merchant of Venice,thousand,ducats,16
Merry Wives of Windsor,master,fenton,16
Merry Wives of Windsor,sir,hugh,16
Two Gentlemen of Verona,sir,proteus,16
"Henry VI, Part 2",duke,humphrey,15
Merry Wives of Windsor,master,ford,15
Richard III,king,richard,15
Richard III,lord,hastings,15
Twelfth Night,sir,topas,15
Coriolanus,caius,martius,14
Merry Wives of Windsor,master,doctor,14
Much Ado about Nothing,signior,benedick,14
Timon of Athens,lord,timon,14
Twelfth Night,sir,andrew,14
"Henry VI, Part 1",lord,talbot,13
Henry VIII,lord,cardinal,13
Taming of the Shrew,signior,gremio,13
Troilus and Cressida,sweet,queen,13
Two Gentlemen of Verona,sir,thurio,13
Hamlet,lord,hamlet,11
"Henry IV, Part 2",john,falstaff,11
"Henry VI, Part 2",duke,humphrey's,11
King Lear,poor,tom,11
Richard II,king,richard,11
All's Well That Ends Well,count,rossillon,10
All's Well That Ends Well,lord,sir,10
Cymbeline,milford,haven,10
"Henry VI, Part 3",king,edward,10
King John,king,john,10
King Lear,foul,fiend,10
Much Ado about Nothing,count,claudio,10
Othello,willow,willow,10
Taming of the Shrew,signior,baptista,10
Timon of Athens,lord,timon's,10
Two Gentlemen of Verona,sir,valentine,10
"Henry VI, Part 3",king,henry,9
"Henry VI, Part 3",lady,bona,9
Julius Caesar,noble,brutus,9
King John,sir,robert,9
King John,sir,robert's,9
Measure for Measure,master,froth,9
Merchant of Venice,lord,bassanio,9
Merry Wives of Windsor,john,falstaff,9
Richard III,gracious,lord,9
Two Gentlemen of Verona,madam,silvia,9
Hamlet,father's,death,8
"Henry VI, Part 2",sir,john,8
Merry Wives of Windsor,doctor,caius,8
Much Ado about Nothing,don,pedro,8
Othello,michael,cassio,8
A Midsummer Night's Dream,peter,quince,7
As You Like It,heigh,ho,7
Coriolanus,titus,lartius,7
"Henry IV, Part 1",anon,anon,7
"Henry IV, Part 1",anon,sir,7
"Henry IV, Part 1",harry,percy,7
"Henry IV, Part 2",god,save,7
"Henry IV, Part 2",noble,lord,7
"Henry IV, Part 2",robert,shallow,7
Henry V,de,nails,7
"Henry VI, Part 1",lord,protector,7
"Henry VI, Part 2",lord,protector,7
"Henry VI, Part 3",2,keeper,7
"Henry VI, Part 3",gracious,lord,7
"Henry VI, Part 3",king,henry's,7
Henry VIII,lord,chamberlain,7
Henry VIII,thomas,lovell,7
King John,robert's,son,7
Measure for Measure,brother's,life,7
Much Ado about Nothing,chamber,window,7
Much Ado about Nothing,don,john,7
Much Ado about Nothing,signior,leonato,7
Richard II,gloucester's,death,7
Richard II,god,save,7
Richard II,thomas,mowbray,7
Richard III,noble,lord,7
Romeo and Juliet,county,paris,7
Troilus and Cressida,brother,troilus,7
Troilus and Cressida,ha,ha,7
Troilus and Cressida,lord,aeneas,7
Twelfth Night,cross,gartered,7
Twelfth Night,yellow,stockings,7
Comedy of Errors,marry,sir,6
Comedy of Errors,thousand,marks,6
"Henry IV, Part 1",sir,walter,6
"Henry IV, Part 1",thousand,pound,6
"Henry IV, Part 2",master,bardolph,6
"Henry IV, Part 2",master,robert,6
"Henry IV, Part 2",master,silence,6
"Henry IV, Part 2",yea,marry,6
Henry V,de,fingres,6
"Henry VI, Part 1",white,rose,6
"Henry VI, Part 2",king,henry,6
"Henry VI, Part 2",lord,cardinal,6
"Henry VI, Part 3",king,lewis,6
Julius Caesar,metellus,cimber,6
Julius Caesar,ye,gods,6
King John,calf's,skin,6
King Lear,hundred,knights,6
Macbeth,knock,knock,6
Measure for Measure,die,tomorrow,6
Merry Wives of Windsor,master,parson,6
Merry Wives of Windsor,master,shallow,6
Merry Wives of Windsor,mistress,quickly,6
Othello,ha,ha,6
Pericles,king,pericles,6
Richard III,lord,stanley,6
Romeo and Juliet,romeo,romeo,6
Romeo and Juliet,silver,sound,6
Taming of the Shrew,signior,hortensio,6
Taming of the Shrew,sweet,kate,6
All's Well That Ends Well,monsieur,parolles,5
As You Like It,married,tomorrow,5
As You Like It,sir,rowland,5
Comedy of Errors,god's,sake,5
Coriolanus,tullus,aufidius,5
"Henry IV, Part 1",brother,john,5
"Henry IV, Part 1",jack,falstaff,5
"Henry IV, Part 1",lord,mortimer,5
"Henry IV, Part 1",sir,michael,5
"Henry IV, Part 1",true,prince,5
"Henry IV, Part 2",lord,bardolph,5
"Henry IV, Part 2",master,gower,5
Henry V,captain,fluellen,5
Henry V,captain,gower,5
Henry V,captain,macmorris,5
Henry V,de,nick,5
Henry V,je,pense,5
Henry V,je,vous,5
Henry V,sauf,votre,5
"Henry VI, Part 1",king,henry,5
"Henry VI, Part 1",la,pucelle,5
"Henry VI, Part 2",gracious,lord,5
"Henry VI, Part 3",1,keeper,5
"Henry VI, Part 3",god,forbid,5
"Henry VI, Part 3",lawful,king,5
"Henry VI, Part 3",lord,hastings,5
"Henry VI, Part 3",sir,john,5
Henry VIII,highness,pleasure,5
Henry VIII,lord,archbishop,5
Julius Caesar,caius,cassius,5
Julius Caesar,caius,ligarius,5
Julius Caesar,decius,brutus,5
Julius Caesar,peace,ho,5
King John,cœur,de,5
King John,lady,constance,5
King Lear,kill,kill,5
Macbeth,birnam,wood,5
Macbeth,weird,sisters,5
Macbeth,worthy,thane,5
Merchant of Venice,learned,judge,5
Merchant of Venice,master,launcelet,5
Merchant of Venice,signior,antonio,5
Merry Wives of Windsor,buck,basket,5
Merry Wives of Windsor,fat,woman,5
Merry Wives of Windsor,ford's,wife,5
Merry Wives of Windsor,jack,rugby,5
